"Source:","C:\Users\user6\Documents\GitHub\Controller_Circuit\HW\usb_relay_control\usb_relay_control.kicad_sch"
"Date:","10/05/2023 2:35:17 pm"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","153"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"R11, R12","2","47k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R14, R15, R27, R28, R31, R32","6","1K","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R16, R20, R30","3","10","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R17, R23","2","1.78k","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R21, R22","2","32m","R_Small","Resistor_SMD:R_2512_6332Metric","Resistor, small symbol","",""
"R29, R35, R36, R37, R38","5","150","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R33, R34","2","60.4 Ohm","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R41, R42, R43","3","0","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R44, R45","2","100K","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R46","1","1k5","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"SW1, SW2","2","SW_Push","SW_Push","Button_Switch_SMD:SW_SPST_B3U-1000P","Push button switch, generic, two pins","",""
"U1","1","STM32F103CBTx","STM32F103CBTx","Package_QFP:LQFP-48_7x7mm_P0.5mm","ARM Cortex-M3 MCU, 128KB flash, 20KB RAM, 72MHz, 2-3.6V, 37 GPIO, LQFP-48","",""
"U2","1","INA2181A3QDGSRQ1","INA2181A3QDGSRQ1","ul_INA2181A3QDGSRQ1:INA2181A3QDGSRQ1","","",""
"U3","1","TJA1051T-3","TJA1051T-3","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","High-Speed CAN Transceiver, separate VIO, silent mode, SOIC-8","",""
"U4","1","INA2181A1IDGSR","INA2181A1IDGSR","ul_INA2181A1IDGSR:INA2181A1IDGSR","","",""
"Y1","1","16 MHz Crystal","Crystal_GND24_Small","Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm","Four pin crystal, GND on pins 2 and 4, small symbol","",""
